file_id,start_time,end_time,duration,gender,success_rate,F1_mean,F1_median,F1_std,F1_min,F1_max,F1_count,F2_mean,F2_median,F2_std,F2_min,F2_max,F2_count,F3_mean,F3_median,F3_std,F3_min,F3_max,F3_count,F4_mean,F4_median,F4_std,F4_min,F4_max,F4_count,F5_mean,F5_median,F5_std,F5_min,F5_max,F5_count
난색.wav_interval_0,0.3425,0.42970394736842105,0.08720394736842102,male,1.0,430.31431935277897,433.73532311521467,33.92262757619478,330.76234117887714,464.49511243903896,14,1971.2061424204567,1957.0322989190422,99.70333373843114,1764.7639515505548,2161.5976314373734,14,2381.06764644435,2428.4502289907173,98.77649015850535,2169.664870855316,2485.4189941272566,14,3517.691078034349,3455.90070140147,105.43454825720362,3418.3296558185375,3687.8823729113888,14,,,,,,0
난색.wav_interval_1,2.0,2.5,0.5,male,0.0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0
난색.wav_interval_2,3.0,3.5,0.5,male,0.0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0
