단어,빈도
놀이기구,15
부러,15
데려가서,15
남방,15
품고,15
편이었고,15
박람회,15
총알,15
강북,15
버리는데,15
순수,15
파인,15
은색,15
단색,15
차만,15
다가와서,15
비우고,15
탄소,15
예절,15
물어봐야,15
왔냐,15
영위,15
꾸민,15
나아질,15
성은,15
보물,15
대중문화,15
알아보려고,15
지니,15
불렀는데,15
지탱,15
보인,15
알아가는,15
바닐라,15
축소,15
만리장성,15
물의,15
박보영,15
반절,15
올라가야,15
김치냉장고,15
즉시,15
줄줄,15
신설,15
만나기가,15
할리우드,15
직책,15
잤던,15
어회,15
동대문,15
듬뿍,15
모르거든요,15
도와주려고,15
뒀는데,15
배우기도,15
도를,15
셰프,15
기호,15
목사,15
취한,15
창설,15
호강,15
몰입도,15
특전,15
들으러,15
철판,15
수채화,15
외숙모,15
달라지지,15
액체,15
국장,15
맞는가,15
신혼집,15
샤이니,15
들거나,15
덜덜,15
요식업,15
실려,15
솔선수범,15
갖추고,15
영창,15
노령,15
소모품,15
출생률,15
수산시장,15
키라,15
칸쿤,15
지붕,15
버릴까,15
사수,15
연구실,15
길러서,15
다가와,15
보든,15
응답,15
배우다가,15
얼마만큼,15
나빠지고,15
빼려고,15
나왔지,15
식생활,15
세무사,15
검토,15
마지노선,15
나가더라고요,15
시켰을,15
설문,15
심사,15
지킴,15
성찰,15
정전기,15
초딩,15
마법,15
떨어지,15
도나,15
잇몸,15
한가운데,15
스트리트,15
지키려고,15
식탐,15
쓰실,15
바뀌었어요,15
재단,15
비추,15
동구,15
다칠,15
다방면,15
수주,15
식도,15
들었었고,15
사감,15
팔거나,15
않게끔,15
시켰던,15
정숙,15
법칙,15
파라,15
만들었을,15
수량,15
정유미,15
학우,15
지텔프,15
내려오면서,15
아파트먼트,15
실정,15
스모키,15
처가,15
우비,15
하셨나,15
클라이너,15
얼핏,15
작화,15
살았잖아,15
가니까는,15
짜면,15
설경구,15
듣습니다,15
북쪽,15
메르스,15
접속,15
재력,15
개입,15
사이판,15
맞구나,15
시사,15
문항,15
염전,15
나가자,15
면제,15
안양천,15
일명,15
움직이면,15
양육비,15
시련,15
올랐을,15
동양인,15
반고,15
충고,15
응대,15
네모,15
근심,15
미술품,15
갑상샘,15
편리,15
사내,15
다락방,15
촉법소년,15
여러가지,15
폭파,15
휘발유,15
드라이버,15
홀란,15
데모,15
그랜저,15
사랑니,15
담뱃값,15
헬스하,14
잔디밭,14
느껴지니까,14
주셨어,14
스트,14
나오지만,14
자손,14
한자리,14
뜯어서,14
본받을,14
뽀로로,14
도태,14
문고,14
받아들여야,14
후진국,14
평택,14
옮긴,14
메이드,14
파이프,14
울어,14
용납,14
다가올,14
가자마자,14
절임,14
아몬드,14
위원장,14
다니까,14
조선시대,14
되실,14
공수,14
꼽으,14
분배,14
머리띠,14
소면,14
오락,14
길게는,14
뜨면은,14
창의,14
친해져서,14
미니멀리즘,14
겁나,14
편이었어,14
잡으면은,14
걸그룹,14
이었다가,14
죽는다,14
노르웨이,14
이방인,14
정직,14
넣으려고,14
알코올,14
다녔기,14
이란,14
사복,14
매미,14
키우,14
않으신,14
기계로,14
치명,14
추운데,14
거금,14
보여야,14
쓰더라고요,14
탁자,14
몰랐을,14
크잖아요,14
화로,14
질질,14
구심,14
오피스,14
뒷산,14
지하철도,14
스카프,14
느껴지는데,14
다시마,14
깔아서,14
부지,14
내놨는데,14
우애,14
별일,14
궁금,14
찾아보려고,14
술안주,14
비등,14
테이크아웃,14
움직이면서,14
하다라는,14
영지,14
나오신,14
망상,14
커진,14
산적,14
동태,14
주시면서,14
화합,14
보듬어,14
개학,14
놀려고,14
난다는,14
도마,14
폐쇄적,14
따르면,14
주어지는,14
하겠다라는,14
먹질,14
파우치,14
반주,14
빌리,14
신약,14
공지,14
없어진다고,14
쓰지도,14
쌓은,14
남았잖아,14
모래사장,14
다달이,14
이안,14
고든,14
숯불,14
태어났을,14
하시지만,14
선천,14
인내,14
꽂힌,14
느끼신,14
편이었거든요,14
발색,14
인내심,14
보였고,14
투도,14
이순신,14
가며,14
사더라도,14
먹었었고,14
과대,14
꽂고,14
수습,14
떨어지면은,14
가져다,14
가고요,14
타코,14
고무,14
왕자,14
나오셔서,14
전문대,14
들락날락,14
쪼개서,14
적정,14
견문,14
놀지,14
보이거든요,14
지치고,14
센서,14
뜬금,14
우연찮,14
풍요,14
보였어요,14
땅끝,14
낚싯대,14
잡게,14
내려갔다,14
중문,14
노가다,14
추는,14
걸려요,14
되라고,14
냇가,14
배우신,14
벌려,14
문물,14
나가기도,14
여길,14
다니실,14
카페라테,14
숨은,14
보강,14
켈리,14
김현수,14
컸을,14
공상,14
봐야겠다라는,14
받다가,14
였고요,14
왕창,14
돌아다니면,14
봤어서,14
패치,14
먹었다가,14
무채,14
느껴졌어,14
묵혀,14
보았습니다,14
견뎌,14
캐리,14
공연장,14
스웨덴,14
위반,14
자두,14
잘게,14
아이피,14
갱신,14
처녀,14
사부,14
이겨서,14
죽더라고요,14
성대,14
내륙,14
대원,14
부하,14
권투,14
거려,14
않았다는,14
알려져,14
장투,14
합법,14
진데,14
대결,14
싸워,14
시켰어요,14
쓰일,14
닿으면,14
땅바닥,14
종이컵,14
끝나기,14
쳤던,14
고소,14
불꽃,14
연남동,14
왕따,14
할지라도,14
붙일,14
물어볼게,14
앞집,14
현관문,14
좋아졌어,14
잡힌,14
노화,14
될는지,14
배척,14
자정,14
버렸지,14
남았고,14
사셔,14
해먹,14
만나기도,14
프레임,14
쉬었다,14
대마도,14
입어본,14
도파민,14
놓아,14
총기,14
떨리고,14
모자란,14
삼대,14
인바디,14
재는,14
루테,14
높여,14
벗어나지,14
편이잖아요,14
몰랐지만,14
전기장판,14
개최,14
보리밥,14
준대,14
꽃말,14
강낭콩,14
미운,14
주마,14
도와줘,14
아으,14
돌려야,14
저축은행,14
봤어도,14
생리,14
참외,14
시키거나,14
탈구,14
키우시고,14
유부초밥,14
늘리는,14
서사,14
믹서기,14
농사짓는,14
스프,14
먹는데요,14
더니,14
둘레,14
진열,14
옮겨서,14
높아지는,14
해안가,14
기다리면,14
이라,14
훈육,14
산후조리원,14
이십,14
공익,14
지우는,14
챙기면서,14
완제,14
만들게,14
편이었어요,14
비비고,14
똘똘,14
주신다고,14
마산,14
솔루션,14
라만,14
모으려고,14
돕는,14
되었다고,14
신데,14
였나요,14
썼고,14
만들어지고,14
따라오는,14
싸우지,14
클리,14
배기,14
리틀,14
보듯이,14
반딧불,14
연동,14
대에는,14
생각나네,14
알다,14
득템,14
왔고요,14
얻었던,14
이러더라고요,14
아르바이트생,14
앤데,14
수리남,14
캐스팅,14
식용,14
빕스,14
사격,14
양주,14
당산,14
나올지,14
늘어,14
밟아,14
카라,14
제천,14
숙련,14
스카우트,14
청구,14
득점,14
제관,14
일주일,14
사냥,14
섣불리,14
없어졌어,14
한인,14
수란,14
풀려서,14
옷차림,14
서기,14
자기야,14
국밥집,14
주상,14
음원,14
주꾸미,14
셜록,14
알리는,14
지퍼,14
세다,14
꾸려서,14
나왔기,14
생기잖아요,14
내리,14
괴담,14
열쇠,14
맞았을,14
불릴,14
유발,14
송이,14
들으시나요,14
고시원,14
히피,14
종편,14
연속극,14
쓰러져,14
메신저,14
매칭,14
좋아졌어요,14
장신구,14
찍었을,14
퍼져,14
써라,14
알긴,14
모션,14
임산부,14
줄어들어서,14
산책로,14
앉을,14
데려왔을,14
맡길,14
나이아가라,14
시리,14
해나,14
부족함,14
적어지고,14
높일,14
했었다,14
치수,14
재수술,14
박고,14
주무관,14
보이던데,14
청춘,14
시위,14
왔었어,14
고인,14
들이지,14
이웃집,14
돈벌이,14
빌리는,14
네트워크,14
다녀왔었는데,14
발효,14
애플리케이션,14
크진,14
갖다주고,14
입는다,14
무술,14
다니신,14
대문,14
명감,14
쫓아,14
전립선,14
컨셉,14
브랜,14
주황색,14
정신건강,14
걸으려고,14
봤죠,14
보너스,14
만들었어,14
화재,14
젊음,14
해왔던,14
조명도,14
플스,14
걷지도,14
리버풀,14
김종국,14
퓨마,14
벨벳,14
치자,14
보이면서,14
연한,14
어도,14
안성탕면,14
알아주는,14
주는구나,14
내장,14
아트록스,14
펑크,14
봉숭아,14
맞춰주는,14
가졌으면,14
누워만,14
공대생,14
속편,14
아나운서,14
버블티,14
가닥,14
카리나,14
바이크,14
붙여놓고,14
병명,14
타이틀,14
수유,14
임원진,14
시식,14
정형,14
두리안,14
파타야,14
무화과,14
뇌출혈,14
전파,14
낳았어요,14
티백,14
피오,14
갚아,14
워홀,14
신관,14
뉴코아,14
태그,14
공황장애,14
유틸,14
노조,14
면세점,14
장갑차,14
러쉬,14
정맥,14
궁채,14
로빈,14
나아지는,13
해체,13
라가,13
나간다는,13
해오고,13
맞기도,13
새록새록,13
지내던,13
기다리다가,13
느낍니다,13
알아보다가,13
생겼더라고요,13
인정받는,13
온다거나,13
후쿠시마,13
방사,13
미로,13
일대,13
서해안,13
떠오르고,13
구상,13
올지,13
잡았다고,13
채취,13
아시잖아요,13
않겠니,13
세울,13
짠지,13
일곱,13
놓친,13
놓고서,13
줄어,13
다가오는데,13
혼밥,13
스트리머,13
말씀드리,13
주셨듯이,13
밀리는,13
건대,13
벗어날,13
다녀와서,13
맞은,13
코리아,13
분위,13
소린,13
잔데,13
나가잖아,13
맞았어요,13
주냐,13
싶게,13
심화,13
전과자,13
건축학,13
근황,13
틀어서,13
지르는,13
찾아보는데,13
찾아봐서,13
바랄게,13
다신,13
계란말이,13
빠졌던,13
월급쟁이,13
낮아진,13
탔을,13
이용자,13
점원,13
단련,13
밥그릇,13
데려가고,13
봐주는,13
프라이데이,13
보이거든,13
그리면,13
싸면,13
줄어서,13
썼거든요,13
털은,13
맡게,13
둬도,13
키웠었어,13
쓰신,13
지하철역,13
후추,13
느끼거든요,13
흐르고,13
해서든,13
퍽퍽,13
재워,13
정류장,13
받았잖아,13
살려면,13
주려,13
성묘,13
지내니까,13
토로,13
제자리,13
보가,13
체제,13
오므라이스,13
배웠어,13
간만,13
거세,13
서열,13
기만,13
주셨고,13
확진,13
항생제,13
먹도록,13
나가서도,13
일부분,13
생활관,13
지쳐,13
아귀찜,13
돌아오고,13
나오더라,13
소라,13
오는지,13
쉬다가,13
들리지,13
준단,13
유제품,13
놀기,13
씀씀이,13
죽일,13
센데,13
저럴,13
따라야,13
내잖아,13
들었,13
갤러리,13
벌리고,13
터질,13
막히고,13
돌볼,13
하시던데,13
램지,13
허니,13
본연,13
드시더라고요,13
코팅,13
내려오고,13
키웠어,13
꿈꿨던,13
수험생,13
만들었어요,13
지표,13
겪을,13
난대,13
극히,13
사귀기,13
좋아졌고,13
태어났는데,13
위인,13
좋아졌는데,13
듣는다,13
키워야지,13
투자자,13
지내게,13
이동해,13
건축사,13
삐끗,13
쾌락,13
스피드,13
구기,13
공격수,13
이끌고,13
상용,13
현금화,13
인정이,13
늘어날,13
막판,13
빡센,13
도우,13
넓히는,13
않는지,13
멋대로,13
쓰지만,13
테라스,13
갔었는데요,13
굶어,13
벗어난,13
비속어,13
마르고,13
자원봉사,13
후문,13
정문,13
날아가는,13
살아야겠다,13
독점,13
종료,13
친군,13
나갔고,13
훑어,13
돌아가셨어요,13
줬음,13
핵가족,13
올라갈수록,13
된다니까,13
자려고,13
구단,13
세이브,13
케미,13
막히게,13
에스비에스,13
게이,13
게라,13
제나,13
진드기,13
마시면은,13
않고도,13
부안,13
분식,13
새우는,13
멀어지고,13
성지,13
여행객,13
양하,13
다녀야지,13
어리,13
다녔으면,13
라이스,13
파프리카,13
곁들여,13
먹죠,13
익숙해져서,13
달마,13
수령,13
망가지는,13
분대,13
골키퍼,13
이었죠,13
일제,13
집니다,13
됐었습니다,13
나죠,13
토종,13
복진,13
팔뚝,13
특이,13
요크셔테리어,13
늑대,13
핀란드,13
교관,13
간첩,13
임무,13
벌벌,13
일어났던,13
포스,13
레트로,13
넘지,13
식은,13
사귀어야,13
구체화,13
않았었던,13
머스크,13
팔았어,13
육성,13
마리오,13
만들어도,13
닮아,13
본전,13
코엑스,13
통풍,13
먹었지만,13
걸리게,13
가졌는데,13
출동,13
식량,13
후반기,13
아인,13
닮았다고,13
친해졌던,13
걸쳐,13
기억난다,13
돗자리,13
돌산,13
눌러서,13
납부,13
통틀어,13
무상,13
않았냐,13
잘만,13
신입학,13
대별,13
해야지라는,13
괴롭히는,13
후방,13
분량,13
보낸다고,13
병들이,13
독소,13
이윤,13
사놓은,13
심해지고,13
청라,13
봐야겠어,13
곰돌이,13
찾아보자,13
오더라도,13
적은데,13
들어갈까,13
주야장천,13
되는지는,13
대용,13
이었나요,13
다닙니다,13
구경만,13
탐색,13
기껏,13
사셨는데,13
낙후,13
미국인,13
간직,13
가지기,13
드리긴,13
멘트,13
주어,13
시행착오,13
물감,13
느끼기,13
도라지,13
기관지,13
치와와,13
되겠습니다,13
살긴,13
익혀,13
감사해요,13
슈가,13
아쿠아,13
걸리잖아,13
들었기,13
사은,13
잃어버리면,13
도토리,13
부잣집,13
신경질,13
기복,13
막힌,13
반짝,13
나오려고,13
중형,13
뛰어놀고,13
산후조리,13
돌아오지,13
책임지는,13
언뜻,13
직후,13
나갔어요,13
달라지긴,13
블루투스,13
공용,13
안과,13
어이구,13
고흐,13
세심,13
겉옷,13
컨버스,13
긁고,13
닦아야,13
흥정,13
옮겨야,13
라인업,13
사거든,13
뱅킹,13
들어오긴,13
불만족,13
디테일,13
보내주고,13
증조,13
줄어드니까,13
규어,13
떨어졌어,13
냉방,13
편두통,13
진통제,13
자수,13
호가,13
갈아입고,13
아뇨,13
동굴,13
꼬꼬,13
왔었거든,13
코카콜라,13
장녀,13
빨려,13
풀릴,13
하시길,13
들었는데요,13
날아다니는,13
냈어,13
티몬,13
동부,13
호의,13
스톤,13
전종,13
몸속,13
홍차,13
포대,13
대천,13
사다리,13
밥솥,13
오시면은,13
키우진,13
건너서,13
촉진,13
키우긴,13
까먹어,13
적기,13
채워야,13
빠리,13
랭크,13
외워야,13
나아진,13
시카고,13
책임자,13
초보자,13
업은,13
들더라도,13
없어지지,13
씻겨,13
웃기긴,13
떨어졌던,13
앉은,13
익숙해지고,13
그리기,13
먹으라,13
스펀지,13
됨으로써,13
임진각,13
물어봐요,13
잤어요,13
않았니,13
장조림,13
달려가서,13
궁금증,13
아일랜드,13
붙박,13
헌병,13
단속,13
공과,13
페이도,13
운전자,13
먹일,13
라틴,13
두르고,13
시립,13
컸어,13
안산,13
먹어가면서,13
쥐어,13
제이팝,13
봤는,13
오가,13
단화,13
표면,13
전염병,13
얼떨결,13
양수,13
자궁,13
먹으,13
넓어지고,13
오든,13
그네,13
어문,13
자본주의,13
직면,13
이처럼,13
리치,13
대창,13
약대,13
정보처리기사,13
일간,13
재롱,13
치즈볼,13
고속버스,13
살면서도,13
트렁크,13
학비,13
보냈을,13
가르쳐야,13
말씀드릴게요,13
막힐,13
수로,13
나왔다는,13
보육,13
성수동,13
치맥,13
쓰든,13
교제,13
생긴다면은,13
몰리는,13
전현무,13
응원가,13
오만,13
놓는데,13
권한,13
딸려,13
면류,13
치거나,13
범죄물,13
오르막,13
탄다고,13
금식,13
만나자고,13
제과,13
소견,13
개껌,13
연구소,13
뜨잖아요,13
트레킹,13
판교,13
끝나고도,13
하청,13
걷지,13
처방전,13
농업,13
다녔다고,13
좌우간,13
부속,13
중순,13
불펜,13
메가박스,13
리어카,13
붓기,13
라오스,13
패밀리,13
알았으면,13
무언,13
압구정,13
까에,13
늙고,13
나래,13
남양주,13
에뛰드,13
진성,13
미루는,13
골반,13
발판,13
알았다고,13
유동성,13
적자,13
떼서,13
하물며,13
세뇌,13
고대,13
브런치,13
놀거나,13
철봉,13
찾아봤어요,13
올라왔는데,13
보육원,13
사별,13
천지,13
이러지는,13
제조업,13
헤어지게,13
쳐다도,13
바뀌었다고,13
고발,13
경지,13
음바페,13
인간성,13
뷰러,13
듀스,13
공모,13
써져,13
출연자,13
좌담,13
라운딩,13
특급,13
스피킹,13
까만색,13
강약,13
지게차,13
포심,13
가야금,13
납입,13
시월,13
아스널,13
탁구공,13
경제활동,13
농인,13
화담,13
분식점,13
이사회,13
아래쪽,12
모래밭,12
나더라,12
파가,12
뜨는데,12
올려놓은,12
처남,12
퇴색,12
선산,12
내려왔는데,12
소셜미디어,12
색칠,12
도안,12
내는데,12
마드리드,12
경직,12
국외,12
전망대,12
절로,12
하더,12
물려줄,12
안나,12
나오던,12
헌신,12
주춤,12
얻기,12
해서가,12
두신,12
말씀드리는,12
예물,12
쌓아놓고,12
곁들여서,12
마네,12
나아지지,12
이러거든요,12
꼽는,12
만나려고,12
익숙해져,12
모르겠거든요,12
졸업식,12
싶었지,12
전자사전,12
미개,12
닌텐도,12
뽑자면,12
전자공학,12
않으셨어요,12
심취,12
읽다,12
읽거나,12
자거나,12
신세,12
비전,12
그만둘,12
리프트,12
자격지심,12
드리려고,12
모금,12
끝나는데,12
만들어져,12
키웠고,12
타게,12
들으,12
먹었었거든요,12
대규모,12
검수,12
우회,12
바코드,12
됐을까,12
바뀌긴,12
어마,12
없어져야,12
생겼거든,12
먹니,12
따라다니고,12
부쩍,12
모발,12
입기도,12
팔잖아요,12
으르렁,12
성함,12
빠짝,12
걸리잖아요,12
죽었어요,12
억양,12
김은숙,12
무너진,12
관악산,12
아이젠,12
퇴치,12
나타나면,12
싸는,12
찾아봐야겠다,12
이야길,12
갔어야,12
찾아다니고,12
나갔으면,12
바뀌었으면,12
자괴,12
모순,12
심해지는,12
넘을,12
주변인,12
전염,12
깃값,12
만나던,12
사든,12
정국,12
뮤직비디오,12
발자국,12
리드,12
나가긴,12
떠드는,12
말씀드려,12
간지,12
걸렸다고,12
지켜봐야,12
찾았는데,12
졸업장,12
총학생회,12
충성,12
들어왔던,12
넘어서서,12
이천,12
체리,12
재물,12
담겨,12
곤욕,12
고위,12
수두,12
말곤,12
남으면,12
구박,12
워크숍,12
업고,12
하와,12
생크림,12
헝가리,12
호도,12
사시는데,12
무수,12
다녔었거든요,12
버렸잖아,12
문화생활,12
킬링,12
넘어와서,12
놀리고,12
업적,12
나뉘어져,12
들었단,12
도도,12
맞다는,12
왔더니,12
키웠으면,12
나스닥,12
연초,12
재주,12
올인,12
나을지,12
차례상,12
왔죠,12
돌아가셔서,12
부추,12
원조,12
거저,12
안면,12
중도,12
늦어,12
시킨다는,12
아르헨티나,12
의학과,12
소도,12
위도,12
드레서,12
바느질,12
당구,12
남았어요,12
빠져요,12
아두,12
새도,12
잡아주고,12
써야지,12
주시려고,12
냈어요,12
발차기,12
지프,12
세는,12
갔었습니다,12
작은딸,12
평창,12
형수,12
처갓집,12
당겨서,12
온전,12
살아가면,12
전남,12
분쟁,12
절친,12
서치,12
항의,12
송혜교,12
나오기는,12
돌아다니,12
내력,12
먹는데도,12
증거,12
해답,12
나을까,12
끓이면은,12
얻어먹고,12
끊기고,12
맞어,12
겪다,12
헹구,12
올랐더라고요,12
구인,12
피곤,12
놀랐습니다,12
로스,12
힐러,12
올라가게,12
흔들어,12
놓는다,12
일가,12
로비,12
재건,12
끊긴,12
폐렴,12
보냈고,12
캐러멜,12
주먹밥,12
시켜놓고,12
후원,12
부딪히고,12
바뀌더라고요,12
심심,12
사물놀이,12
상치,12
하위,12
돌아가면,12
키웠었어요,12
데려가는,12
드는지,12
보병,12
군장,12
밑창,12
익히,12
크거나,12
루나,12
먹고살기,12
봐야겠네,12
배그,12
퍼센티지,12
빠지면은,12
싸우면,12
스킨로션,12
나누기,12
쐬고,12
찾거나,12
망설이고,12
버리러,12
햇반,12
서까지,12
친언니,12
주길,12
꺼내는,12
다가가서,12
가곤,12
아미,12
돌아보는,12
본받고,12
엽서,12
무드,12
어울리게,12
싶어지는,12
뒀던,12
딴에는,12
앉았다,12
대시,12
이냐에,12
쉽다,12
강변,12
멀어진,12
배차,12
겪지,12
약방,12
경고,12
상하이,12
나가다가,12
풀려,12
하시거든,12
추적,12
신림동,12
놓고도,12
섀딩,12
의의,12
끊은,12
오산,12
수송,12
시동생,12
먹고살아야,12
없어지,12
되셨는지,12
사귀었던,12
드렸더니,12
이공,12
롤케이크,12
보스,12
개천,12
함량,12
심는,12
가고는,12
고고,12
꺼내고,12
해온,12
배수,12
옷감,12
들인,12
되었다,12
고사리,12
시츄,12
키웠거든요,12
살고는,12
데려다가,12
리코더,12
쳇바퀴,12
데려와,12
적는,12
실사,12
조연,12
놨거,12
고기랑,12
좋아지더라고요,12
봐야겠네요,12
백내장,12
교외,12
포차,12
누적,12
실리콘,12
쌍수,12
시집살이,12
대림,12
알겠어요,12
권하는,12
홍보단,12
하시긴,12
하신다는,12
고열,12
동탄,12
날까,12
젤라토,12
가시더라고요,12
건지에,12
드린다고,12
올라가다,12
엎드려서,12
결합,12
흑백,12
스커트,12
났다고,12
따질,12
돌아왔는데,12
들어와도,12
얻으려고,12
본드,12
됐는,12
좋아지면,12
썼는지,12
썼다고,12
돌아보면,12
이주,12
낳으려고,12
썰을,12
사치,12
뭉치,12
받으시는,12
믿기,12
불의,12
나왔었거든요,12
꺼려하는,12
기린,12
보이거나,12
하겠구나,12
쓰레기봉투,12
밀대,12
소속사,12
이래요,12
맥심,12
자기만족,12
다양,12
엔도르핀,12
주셨거든요,12
만료,12
여행자,12
지으면서,12
참아,12
성시경,12
조인성,12
이집트,12
조리사,12
없어졌어요,12
먹었었어요,12
간편식,12
킥복싱,12
대나,12
유치,12
침체,12
찾아보긴,12
본성,12
씀바귀,12
가져오고,12
낸다는,12
뚜레쥬르,12
잠봉뵈르,12
슈팅,12
인까,12
찾아갈,12
받습니다,12
높여서,12
벽면,12
전셋집,12
발성법,12
높아진,12
하늘색,12
방수,12
슈트,12
입생로랑,12
방관,12
내려야,12
올라오더라고요,12
친해지지,12
잡히고,12
지켜지지,12
들어온다고,12
흠뻑,12
배드,12
엄정화,12
생도,12
주고받는,12
꽂히는,12
헌병대,12
영장,12
린데,12
차라,12
다사,12
칼라,12
만든다는,12
나오라고,12
요트,12
려면,12
걷게,12
걸린다고,12
나왔거든,12
넓히고,12
잊혀지지,12
훗날,12
벌어지는,12
가고자,12
놀리는,12
했겠지,12
우영,12
목이버섯,12
학적,12
천이,12
오프,12
디올,12
오류,12
어젠,12
넘겼는데,12
낮잠,12
마음먹은,12
걸으면은,12
신전,12
모르겠는데요,12
논술,12
가야겠다라고,12
날아가고,12
텐데,12
별자리,12
뭉쳐,12
대판,12
호른,12
남으면은,12
멤버십,12
들어가잖아요,12
칼날,12
보이즈,12
스테이지,12
듣잖아,12
소울,12
레오,12
왕국,12
짚어,12
스쿨,12
입기가,12
질려,12
동등,12
커트라인,12
봤었지,12
감사하다고,12
복습,12
질적,12
않네요,12
스톱,12
뛰면,12
보내지,12
베이징,12
콘택트,12
찾아오는,12
자본금,12
미미,12
각인,12
변신,12
따져서,12
왓챠,12
뜨기,12
스파이더,12
서지,12
눌려,12
돌보고,12
이겨내고,12
오진,12
야단,12
자질,12
마구,12
봐줄,12
견주,12
넘어가면서,12
스노우,12
욱하,12
수중,12
클라이언트,12
달력,12
뻗어,12
이거든요,12
역학,12
썰고,12
가봐도,12
윌리엄스,12
악마,12
헌법,12
넥타이,12
외근,12
될지가,12
서칭,12
부품,12
줄이기,12
옆구리,12
새벽같이,12
시비,12
들었으니까,12
녹화,12
그리울,12
핏줄,12
특전사,12
만질,12
유벤투스,12
나폴리,12
문해,12
무분별,12
열리고,12
낮아지고,12
상술,12
발급,12
깎는,12
광화문,12
문상,12
되겠나,12
죽겠다,12
큽니다,12
청음,12
감리,12
작정,12
사범,12
김완선,12
돌리다가,12
집이었는데,12
어긴,12
붙인,12
반박,12
비정규직,12
그림자,12
증명서,12
집행,12
영광,12
화천,12
검열,12
보내는데,12
다우니,12
사교육비,12
첼시,12
지마켓,12
재민,12
컬러풀,12
닥치,12
메디슨,12
챔스,12
주식회사,12
세브란스,12
윈터,12
기독,12
끊기는,12
러브,12
미가,12
다녔지,12
돌아보면은,12
기일,12
앰뷸런스,12
단시간,12
노산,12
무쳐,12
고증,12
스크립트,12
조적,12
블라우스,12
힌트,12
유니버설,12
종신,12
불매,12
책자,12
키키,12
말단,12
포드,12
렉스,12
호이안,12
송가,12
자이언츠,12
수색대,12
워킹홀리데이,12
티아고,12
탭댄스,12
승강기,12
트레드밀,11
받으라고,11
만들어야지,11
걷거나,11
입덕,11
출전,11
나왔단,11
고딩,11
고라,11
살리지,11
모였을,11
전서,11
낳으니까,11
없어졌으면,11
뒷전,11
스펙트럼,11
대성,11
외화,11
했겠지만,11
손짓,11
올랐고,11
가디언즈,11
줬었잖아,11
치도,11
가르쳐주고,11
돌잡이,11
갈비탕,11
꼼짝,11
대추,11
앞전,11
파트타임,11
친해지게,11
불로,11
조로,11
입도,11
기리,11
월간,11
느끼진,11
다니더라고요,11
지르면서,11
조종,11
주러,11
봤지마는,11
면도기,11
썼거든,11
떠올려,11
믿게,11
놓게,11
악의,11
참지,11
갈만,11
늘어서,11
신화,11
시인,11
수라,11
과부,11
죽었는데,11
읽기,11
쓸어,11
드리면은,11
받잖아요,11
쌓아야,11
찾아봤었는데,11
땄어,11
드신다고,11
젖은,11
윤성빈,11
본방,11
질러,11
될수록,11
말았는데,11
알거든,11
흑역사,11
다치거나,11
버리더라고요,11
했거나,11
스테이,11
변동성,11
중장,11
추첨,11
가죠,11
바뀌었다,11
아끼려고,11
잡아먹고,11
유전자,11
바르지,11
흘리면,11
단발머리,11
입으라고,11
왔네,11
넘었으니까,11
모종,11
아리랑,11
끌려,11
정액,11
영어권,11
포커스,11
소진,11
내려가는데,11
불도,11
부치는,11
만드니까,11
안녕,11
거마,11
올랐다,11
내려간,11
챙기려고,11
갈게요,11
오름,11
활력소,11
쓴다든지,11
찾아도,11
원데이,11
팟타이,11
버렸던,11
세균,11
먹어야겠다,11
넘어갔던,11
받으신,11
나가기가,11
보시거나,11
전번,11
되는데도,11
배탈,11
세다고,11
명문,11
분열,11
징계,11
않는다라고,11
되지라는,11
얼추,11
먹을게,11
알았습니다,11
인절미,11
단호박,11
호박죽,11
알리오,11
남았으니까,11
숙취,11
뭉티기,11
가셔도,11
찾아보다,11
겪었을,11
느냐라는,11
살아남을,11
전념,11
걸림,11
팔거든,11
고르자면,11
허구,11
출세,11
인승,11
생겼으니까,11
태워서,11
별미,11
물리는,11
생겼잖아요,11
거동,11
버리려고,11
기르기,11
사봤는데,11
부딪혀서,11
단돈,11
풀려고,11
수술실,11
리얼리티,11
않는구나,11
나눈,11
굴뚝,11
키우려면,11
친지,11
외할아버지,11
글리,11
깡통,11
가봐야겠다,11
가늠,11
들으시는,11
배우는데,11
남았다,11
증식,11
된다면서,11
하겠다라고,11
될진,11
갚는,11
마자,11
통기타,11
마르지,11
가자라고,11
배웠고,11
팔꿈치,11
하셨기,11
왕성,11
선교,11
안도,11
모를까,11
현저,11
나왔는지,11
윤택,11
수렴,11
모으,11
본체,11
신었던,11
총회,11
막내딸,11
돕고,11
올라가기,11
흐르다,11
받으실,11
연대장,11
건의,11
하지요,11
밀려,11
해낼,11
끝낼,11
즐기러,11
뽑아야,11
잠자는,11
말씀드렸잖아요,11
군것질,11
났는데요,11
웃길,11
나타나지,11
배역,11
스릴러물,11
유머,11
싶다가도,11
바뀌면,11
바뀌니까,11
멈추는,11
다발,11
싶다면은,11
사귀면,11
헹궈,11
예배,11
늦어도,11
불러요,11
빠졌어요,11
게이머,11
였으면은,11
로열,11
악수,11
버스킹,11
되지가,11
받기는,11
비빔,11
본점,11
마셔요,11
놀았는데,11
고지,11
호칭,11
아비,11
넘어와,11
이끼,11
짐승,11
데려왔는데,11
공존,11
남는데요,11
이루어져,11
젖고,11
요원,11
팬티,11
시멘트,11
여단,11
자루,11
서리,11
굽이,11
사니,11
