단어,빈도
시장,538
의사,537
해외여행,537
유지,535
감정,535
마리,534
금액,533
될까,532
근무,532
시대,531
공간,531
따라,530
연예인,529
모르겠지만,527
였는데,526
다닐,526
결혼식,526
먹기,525
보신,524
정리,523
된다면,522
하세요,521
아르바이트,518
입는,518
쿠팡,518
차라리,517
반대,517
남아,516
봐서,515
그림,514
공감,513
업무,513
그대로,513
기준,512
최대한,511
기는,509
다리,509
역시,506
다니면서,506
든가,504
주면,503
질문,503
오프라인,502
치료,501
뭐라,500
유투브,499
날씨,497
기술,497
이었는데,496
치킨,495
컴퓨터,493
모르고,492
선물,492
현실,491
했으면,489
정신,489
하여튼,488
듣는,487
작품,486
가정,485
소비,485
냄새,484
도전,484
서도,483
볼까,483
만드는,481
학과,480
시절,479
받을,478
나가는,478
신지,477
하기도,475
했습니다,475
가방,475
해야지,474
스스로,473
발전,472
절대,471
싶다는,471
기업,471
성향,470
마찬가지,470
주말,469
보려고,468
보게,467
뉴스,466
영화관,466
모르는,465
패션,465
진행,465
형님,465
동기,465
헬스,464
될지,464
보이는,463
모르겠어,462
사업,461
하잖아요,460
이긴,460
각자,460
할까,458
미래,457
뭐라고,457
하는지,456
비교,455
자고,455
집은,455
그날,454
행동,454
호텔,453
그치,452
미리,451
노인,451
과목,450
분야,449
의미,448
인상,448
리스트,448
내년,448
넣어,447
버스,447
핸드폰,445
과일,445
봤고,444
운전,440
이러면서,437
바람,437
일이,436
전화,435
사기,434
아이돌,433
군데,433
고요,432
패키지,432
하시고,431
엠비티아이,431
맞춰서,431
확인,431
가수,429
보는데,428
두고,428
하실,428
가도,428
끝나고,427
지원,426
영향,426
여행지,424
먹었던,424
애니메이션,424
먹어야,423
대구,421
만큼,421
방학,421
디자인,419
드리고,419
들어가,419
키울,418
보시,417
들면,417
지인,416
전체,415
식단,415
이직,414
봐요,413
신랑,413
재테크,413
않아요,411
어른,411
누나,411
시골,411
집중,409
당장,408
보자,407
도시,405
하시나요,403
하고요,403
판매,403
맞아요,402
걔네,401
장면,401
대요,399
훈련,396
오면,395
마트,394
화장실,394
살면서,393
표현,392
제도,392
갔었는데,392
들어가는,392
김장,392
했거든요,391
된다는,391
포기,391
적도,391
잘못,390
봤어요,390
구경,389
몰라,387
버킷,387
나면,386
후회,386
어린,385
여유,385
보조,384
하기가,384
중이,382
활용,382
나머지,381
가사,381
하러,381
마스크,381
했지,379
식당,379
만나서,379
개발,379
휴가,378
연기,378
가는데,378
주위,376
받은,376
진로,375
구나,374
경찰,374
설명,373
가니까,372
의견,371
만들고,371
하시는지,371
장소,370
무엇,370
기사,370
검사,370
금방,369
에프,368
싶었는데,368
아유,368
들었는데,368
며칠,367
바지,367
수영,366
헬스장,365
등산,365
멀리,365
캐릭터,365
코인,365
즐겨,365
이었던,364
가슴,363
들은,362
느끼는,362
대가,362
했거든,362
나올,361
능력,361
세계,361
해서는,360
안정,360
먹는데,360
출산,359
찾아서,359
떡볶이,359
식구,358
주실,358
새벽,358
생긴,357
불구,357
침대,357
전세,357
부모,356
빨래,356
연습,354
들더라고요,354
재료,354
먹은,354
주택,353
맞지,353
물이,353
보험,353
감독,351
인간,351
만나고,351
하라,350
했다고,350
맞고,350
했다,350
카드,349
피자,349
들어요,348
하더라도,348
받아서,348
왔다,347
싶지,346
식사,346
사건,345
야구,343
인구,342
화장품,342
예능,341
자유,341
인기,341
숙소,341
방식,340
로서,339
한다면,339
목적,339
역할,339
벌써,338
사면,338
주제,338
생각나는,337
허리,336
방금,336
방송,335
했었던,335
용돈,335
놀고,335
쇼핑몰,335
되잖아,334
않게,334
삼성,334
최고,332
주신,332
킬로,332
공원,332
알아서,331
산다,331
주문,331
하셨던,330
검색,328
성적,328
축제,328
먹었는데,328
가자,328
경기,328
야채,327
초반,327
성인,326
되면서,325
공연,325
강의,325
쉽지,325
나갈,324
월급,324
다기,324
사이즈,324
상품,323
상대,323
싶기도,323
인스타,322
결정,321
국가,321
갖다,321
취향,321
청소기,321
들었어,320
일찍,320
되기,320
아우,320
잡고,319
식품,319
들어간,319
내고,318
들이,318
할아버지,318
백화점,317
했듯이,317
일도,317
건조기,317
넷플릭스,316
갔다가,315
지방,315
수준,315
다녀,315
둘째,315
사장,315
매력,314
방향,314
체력,314
점심,314
배우고,313
싶긴,313
아저씨,312
나가고,311
자녀,311
광고,311
가치관,311
공무원,311
상담,310
부대,310
정해,309
배워,308
였던,307
시도,307
비행기,306
번은,306
만든,306
입어,306
먹게,306
가구,306
자전거,305
이미지,305
모임,305
어르신,305
않는데,304
만들어서,304
결과,304
하니,303
되는지,303
지내고,302
됐어요,302
할인,302
가진,301
사이트,301
신고,300
싶다고,300
다라,300
쓰레기,300
화가,299
싶을,299
팔고,299
취직,299
어머님,298
한참,298
인식,298
하던,297
직원,297
시리즈,297
편의점,296
설거지,296
베트남,295
배송,295
주임,295
근육,293
늦게,293
않았는데,292
회장,292
매장,292
계기,292
메이크업,292
했었고,291
상대방,290
건물,290
주인공,290
메뉴,290
샀는데,290
모자,290
래야,288
줘서,288
긍정,288
무릎,287
듭니,287
먹으니까,287
하진,286
주지,286
스리,286
비타민,286
평생,285
간식,285
담배,285
저런,284
만나는,284
하죠,284
인사,283
않지만,283
먹지,283
물고기,282
이어,281
물가,281
가려고,281
일정,281
봤었는데,280
범죄,280
가을,280
먹어도,280
사야,279
기적,278
대리,278
주기,277
대학생,277
과연,277
유치원,277
누군가,276
부정,275
모두,275
무료,275
쪼끔씩,275
웹툰,275
나이키,274
습관,274
대면,273
됐고,273
기능,273
먹어서,273
퍼센트,273
와이프,272
됩니다,272
살다,272
나가,272
배우는,271
낳고,270
구입,270
이러고,269
느끼고,269
행복,269
고려,268
친정,268
한복,268
놓은,267
빼고,267
디저트,267
않은데,266
상상,266
안경,265
되다,265
피해,265
들어가고,265
했더니,265
장님,265
다행,264
여러분,264
앉아,264
위치,264
봤거든요,264
수익,263
드는데,263
가까이,263
신청,263
싸게,263
버리고,261
퇴근,261
작업,260
했으니까,260
처리,260
지도,260
모르겠어요,259
손님,259
러더,259
개념,259
버킷리스트,259
모르겠고,259
생기는,258
이슈,258
가치,258
양제,258
들었던,258
하려면,257
경향,257
로봇,257
했었어,256
됐어,256
이틀,256
않더라고요,256
먹으러,256
추가,255
기대,255
참고,255
시키는,255
복지,255
냉장고,255
만날,255
창업,255
입맛,255
또한,255
주의,254
주세요,254
내일,254
행사,254
계시,253
눈치,253
대출,253
체험,253
자극,252
소개,252
이전,251
약속,251
하기에는,251
대충,251
크고,250
봉사,250
집안,250
들어갈,250
회식,250
타투,250
욕심,249
찾는,249
운영,249
했었어요,249
찾아보고,248
뭐랄까,248
넣어서,248
우유,248
치면,247
됐을,247
전문,247
느낀,247
길이,247
만화,247
갖다가,246
인정,245
나오는데,245
오면은,244
살기,244
로만,244
변화,243
언어,243
찍고,243
공유,243
은행,243
동의,243
고등학생,242
싶었던,242
걸어,242
기계,242
했다가,242
골프,242
하든,241
시설,241
시즌,241
느낄,241
스타,241
가르쳐,240
실력,240
됐던,240
남은,240
마련,240
않으면,240
써야,240
한창,240
려고,240
듣기,239
포인트,239
에어컨,239
악기,238
인간관계,238
했기,238
스토리,238
며느리,237
첫째,237
마시고,237
일상,237
제이,237
쪼금씩,237
들을,236
되잖아요,236
햄스터,236
피아노,236
알아보고,235
발생,235
않아도,234
여성,234
일부러,234
환자,234
보진,234
과제,233
하셔서,233
주인,233
양념,233
계절,233
대전,233
집도,232
케어,232
만나,231
당신,231
반찬,231
장기,230
미술,230
센터,230
명품,230
소금,230
앉아서,230
장난,230
외국인,230
월세,230
데이터,230
애초,229
점수,228
보다가,228
바닥,228
버리는,227
나눠,227
출근,227
시키고,227
교사,227
공기,226
들었어요,226
부부,226
케이스,226
판단,226
나무,225
나왔던,225
알기,224
이러면,224
알았는데,224
찍어,224
싶으면,224
요소,223
공포,223
동료,223
기타,222
계란,222
봤거든,221
보내고,221
참여,221
강원도,221
목소리,220
정부,220
벌레,220
충격,220
치는,220
무리,219
금리,219
이서,218
뮤지컬,218
조절,218
않았어,218
감기,218
대회,218
배울,218
모아,218
위로,217
내는,217
네이버,217
시댁,217
마약,217
먹으면은,217
입원,217
조건,217
원룸,217
심리,216
보긴,216
대표,216
마무리,215
서비스,215
부터,214
과거,214
되긴,214
구조,213
경력,213
추석,213
수학,213
만들,213
여기저기,213
커서,213
이었어,212
흥미,212
나오면,212
생선,212
작가,211
했었거든요,211
종일,211
사주,211
찾아,211
상처,211
보라,210
크기,210
영국,210
조언,210
먹으면서,210
먹어요,210
넘게,210
치즈,210
의지,210
어깨,209
런가,209
줬으면,209
영업,209
였어,208
먹다,208
친척,208
형제,207
로망,207
프랑스,207
노후,207
지내는,206
싶다라는,206
특성,206
청년,206
하더라,206
크림,206
쉬는,205
어찌,205
돼야,205
종이,205
까라는,205
맞게,205
마을,205
감자,205
분양,205
넣는,205
스포츠,205
분도,205
컬러,205
순위,204
체육,204
할지,204
주사,204
책상,204
방문,203
엘지,203
예약,203
업체,203
왔을,202
가거나,202
생일,202
이상은,202
여보,202
햄버거,202
밴드,202
않다고,201
형태,201
모양,201
나눔,201
보내,201
음식물,201
우울증,201
파스타,201
독립,201
캠핑,201
알았어,200
이자,200
지식,200
소스,200
짜증,200
자세,199
플러스,199
아버님,199
에피소드,199
보니까는,199
거가,199
걷는,198
들으면서,198
지가,197
콘서트,197
물리,197
어려움,197
사려,197
이동,197
음료,197
오기,196
반복,195
상관,195
생겨서,195
모아서,195
나은,195
단계,195
당뇨,194
먹으려고,194
하시더라고요,194
포장,194
택배,194
일어나서,194
하는데요,193
일본어,193
단체,193
책임,193
예정,193
염색,193
대만,193
태국,193
생길,192
않았나,192
만난,192
써서,192
정책,192
산소,191
댄스,191
한다든지,191
수능,191
장사,191
몰라서,191
알레르기,191
왔어요,190
현장,190
성형,190
필수,189
케이크,189
하셔,189
리뷰,189
응원,189
반려,189
나왔는데,188
역사,188
기억나는,188
쓰지,188
라인,188
패딩,188
기구,187
심지어,187
한국인,187
눈물,187
방이,187
자랑,187
않으니까,186
휴대폰,186
제목,186
갔어요,186
과학,186
모르는데,185
몰라도,185
물어보고,185
얘길,185
깜짝,184
코스,184
어울리는,184
한식,184
반응,184
후기,184
이었고,183
길거리,183
롯데,183
액세서리,183
마당,183
새끼,183
로맨스,183
교환,183
걷기,182
주면은,182
한편,182
했었거든,182
동남아,182
설탕,182
급여,182
대비,182
경기도,182
아줌마,181
않았던,181
왔던,181
살아야,181
공장,181
느꼈던,181
하던데,181
운동화,181
하겠다,180
학점,180
나면은,179
들었습니다,179
생각난,179
외식,179
간호사,179
않았고,179
잡아,179
요가,179
세월,178
지나고,178
거도,178
준다고,178
강사,178
않았을까,177
이었어요,177
국물,177
쿠폰,177
타는,176
그룹,176
그동안,176
태권도,176
액션,176
지출,176
먹이,176
바꿔,175
택시,175
관광지,175
실수,174
시스템,174
들었고,174
들으니까,174
하도,174
음식점,173
사는데,173
도로,173
봤습니다,173
매번,173
청약,173
일자리,173
받지,173
냉면,173
주는데,172
찾고,172
초등학생,172
조카,172
가다,172
종목,172
아이스크림,172
면접,172
비대,172
